invoice_no;customer_id;gender;age;category;sku_id;quantity;price;payment_method;invoice_date;shopping_mall;elasticidad_producto;elasticidad_categoria;volumen_promedio_producto;volumen_promedio_categoria;elasticidad_relativa;volumen_relativo;recomendacion_precio;rol_producto;estrategia_recomendada;estrategia_resumen;n_obs_producto
INV00339;CUST0080;Male;53,00;Food & Drink;SKU-065;4,00;42,19;Debit Card;2025-07-23;Westside Plaza;-0,07;0,00;4,57;4,53;-94,10;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;51,00
INV00340;CUST0158;Male;46,00;Home Goods;SKU-084;2,00;197,04;Credit Card;2025-08-28;North Mall;-0,10;-0,03;1,53;1,52;3,00;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;43,00
INV00341;CUST0148;Male;44,00;Clothing;SKU-026;2,00;137,16;Cash;2025-07-16;Westside Plaza;-0,15;0,01;2,46;2,49;-19,53;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;46,00
INV00342;CUST0099;Female;37,00;Clothing;SKU-029;3,00;141,34;Credit Card;2025-08-03;Downtown Galleria;0,08;0,01;2,58;2,49;9,97;1,04;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;53,00
INV00343;CUST0153;Female;43,00;Food & Drink;SKU-069;4,00;34,96;Credit Card;2025-09-06;North Mall;0,05;0,00;4,35;4,53;74,62;0,96;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;72,00
INV00344;CUST0015;Female;33,00;Food & Drink;SKU-080;5,00;31,16;Credit Card;2025-08-16;Westside Plaza;0,01;0,00;4,66;4,53;17,27;1,03;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;59,00
INV00345;CUST0037;Male;28,00;Home Goods;SKU-088;2,00;50,98;Credit Card;2025-11-10;Westside Plaza;-0,07;-0,03;1,67;1,52;2,20;1,10;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;48,00
INV00346;CUST0005;Female;29,00;Electronics;SKU-044;1,00;407,72;Credit Card;2025-09-27;Downtown Galleria;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;37,00
INV00347;CUST0090;Male;31,00;Electronics;SKU-035;1,00;241,92;Credit Card;2025-07-17;Westside Plaza;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;48,00
INV00348;CUST0089;Female;48,00;Electronics;SKU-043;1,00;469,24;Credit Card;2025-11-09;North Mall;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;72,00
INV00349;CUST0067;Female;37,00;Electronics;SKU-045;1,00;681,33;Credit Card;2025-08-12;North Mall;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;47,00
INV00350;CUST0141;Male;27,00;Food & Drink;SKU-074;5,00;48,24;Credit Card;2025-07-06;Westside Plaza;0,02;0,00;4,81;4,53;34,18;1,06;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;57,00
INV00351;CUST0013;Female;56,00;Food & Drink;SKU-065;6,00;28,77;Cash;2025-05-16;Downtown Galleria;-0,07;0,00;4,57;4,53;-94,10;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;51,00
INV00352;CUST0181;Female;36,00;Home Goods;SKU-085;2,00;165,19;Cash;2025-08-29;North Mall;-0,00;-0,03;1,35;1,52;0,04;0,89;Subir mucho;Estabilizador de ingresos;Posicionamiento premium: Mantener precios altos para nicho leal. Demanda inelástica con bajo volumen. Enfocarse en calidad superior, exclusividad y segmentación de clientes de alto valor. Considerar descontinuar si los márgenes no justifican el inventario.;Mantener premium, nicho leal;52,00
INV00353;CUST0118;Female;51,00;Electronics;SKU-044;1,00;709,44;Debit Card;2025-10-22;Downtown Galleria;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;37,00
INV00354;CUST0148;Male;52,00;Electronics;SKU-033;1,00;432,10;Credit Card;2025-06-09;Westside Plaza;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;52,00
INV00355;CUST0053;Female;31,00;Home Goods;SKU-097;2,00;157,55;Credit Card;2025-07-11;North Mall;0,02;-0,03;1,58;1,52;-0,55;1,04;Mantener;Generador de ganancias;Maximizar márgenes: Subir precios gradualmente sin perder volumen. Producto con demanda inelástica y alto volumen. Priorizar disponibilidad, calidad y mantener cuota de mercado. Fuente estable de ingresos y efectivo.;Subir precio gradual, maximizar margen;52,00
INV00356;CUST0047;Female;29,00;Clothing;SKU-027;2,00;69,65;Credit Card;2025-09-19;Westside Plaza;-0,08;0,01;2,54;2,49;-10,64;1,02;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;46,00
INV00357;CUST0162;Female;25,00;Food & Drink;SKU-067;4,00;31,46;Credit Card;2025-06-05;Downtown Galleria;0,12;0,00;4,47;4,53;165,05;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;40,00
INV00358;CUST0004;Female;21,00;Home Goods;SKU-100;2,00;65,92;Cash;2025-07-10;Westside Plaza;-0,01;-0,03;1,57;1,52;0,29;1,04;Subir;Generador de ganancias;Maximizar márgenes: Subir precios gradualmente sin perder volumen. Producto con demanda inelástica y alto volumen. Priorizar disponibilidad, calidad y mantener cuota de mercado. Fuente estable de ingresos y efectivo.;Subir precio gradual, maximizar margen;47,00
INV00359;CUST0016;Male;23,00;Food & Drink;SKU-069;5,00;18,97;Credit Card;2025-08-21;Westside Plaza;0,05;0,00;4,35;4,53;74,62;0,96;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;72,00
INV00360;CUST0074;Male;35,00;Clothing;SKU-008;2,00;75,24;Debit Card;2025-07-01;North Mall;0,18;0,01;2,46;2,49;23,06;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;50,00
INV00361;CUST0071;Male;41,00;Electronics;SKU-058;1,00;746,11;Credit Card;2025-10-29;Westside Plaza;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;40,00
INV00362;CUST0160;Female;57,00;Home Goods;SKU-095;1,00;98,96;Credit Card;2025-05-23;Westside Plaza;0,08;-0,03;1,48;1,52;-2,27;0,97;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;50,00
INV00363;CUST0012;Male;28,00;Food & Drink;SKU-061;5,00;34,99;Credit Card;2025-06-24;Westside Plaza;0,09;0,00;4,42;4,53;121,47;0,98;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;40,00
INV00364;CUST0011;Female;56,00;Electronics;SKU-051;1,00;223,09;Credit Card;2025-08-17;Downtown Galleria;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;50,00
INV00365;CUST0137;Female;42,00;Clothing;SKU-006;2,00;46,13;Cash;2025-11-06;Downtown Galleria;-0,15;0,01;2,45;2,49;-18,94;0,98;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;47,00
INV00366;CUST0142;Male;35,00;Home Goods;SKU-089;2,00;38,92;Debit Card;2025-09-06;Downtown Galleria;0,05;-0,03;1,55;1,52;-1,49;1,02;Bajar;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;58,00
INV00367;CUST0083;Female;46,00;Food & Drink;SKU-079;5,00;4,68;Cash;2025-09-06;Downtown Galleria;-0,07;0,00;4,33;4,53;-100,57;0,95;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;61,00
INV00368;CUST0161;Female;54,00;Food & Drink;SKU-067;3,00;32,72;Credit Card;2025-09-11;Downtown Galleria;0,12;0,00;4,47;4,53;165,05;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;40,00
INV00369;CUST0088;Male;47,00;Food & Drink;SKU-071;4,00;13,66;Credit Card;2025-06-23;North Mall;-0,04;0,00;4,33;4,53;-56,08;0,96;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;51,00
INV00370;CUST0190;Male;29,00;Home Goods;SKU-089;1,00;93,39;Credit Card;2025-10-29;North Mall;0,05;-0,03;1,55;1,52;-1,49;1,02;Bajar;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;58,00
INV00371;CUST0083;Male;35,00;Electronics;SKU-036;1,00;577,63;Debit Card;2025-11-04;Downtown Galleria;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;56,00
INV00372;CUST0005;Male;47,00;Clothing;SKU-005;2,00;121,16;Credit Card;2025-06-06;North Mall;0,22;0,01;2,55;2,49;28,64;1,02;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;53,00
INV00373;CUST0020;Female;50,00;Clothing;SKU-020;3,00;105,43;Credit Card;2025-11-11;North Mall;0,02;0,01;2,51;2,49;2,96;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;45,00
INV00374;CUST0123;Female;50,00;Food & Drink;SKU-073;4,00;3,72;Cash;2025-08-16;Westside Plaza;0,10;0,00;4,60;4,53;146,36;1,02;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;43,00
INV00375;CUST0168;Female;50,00;Clothing;SKU-027;2,00;69,21;Credit Card;2025-08-09;North Mall;-0,08;0,01;2,54;2,49;-10,64;1,02;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;46,00
INV00376;CUST0022;Female;46,00;Clothing;SKU-011;2,00;99,89;Credit Card;2025-07-14;North Mall;0,03;0,01;2,46;2,49;4,11;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;48,00
INV00377;CUST0143;Female;47,00;Electronics;SKU-051;1,00;473,23;Credit Card;2025-10-01;Westside Plaza;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;50,00
INV00378;CUST0038;Female;27,00;Food & Drink;SKU-071;4,00;28,13;Credit Card;2025-10-27;Westside Plaza;-0,04;0,00;4,33;4,53;-56,08;0,96;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;51,00
INV00379;CUST0158;Female;57,00;Food & Drink;SKU-072;2,00;36,94;Cash;2025-07-18;Downtown Galleria;-0,03;0,00;4,38;4,53;-41,59;0,97;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;52,00
INV00380;CUST0024;Female;22,00;Food & Drink;SKU-069;4,00;25,46;Cash;2025-07-23;Downtown Galleria;0,05;0,00;4,35;4,53;74,62;0,96;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;72,00
INV00381;CUST0123;Male;26,00;Home Goods;SKU-097;1,00;129,82;Credit Card;2025-11-10;Downtown Galleria;0,02;-0,03;1,58;1,52;-0,55;1,04;Mantener;Generador de ganancias;Maximizar márgenes: Subir precios gradualmente sin perder volumen. Producto con demanda inelástica y alto volumen. Priorizar disponibilidad, calidad y mantener cuota de mercado. Fuente estable de ingresos y efectivo.;Subir precio gradual, maximizar margen;52,00
INV00382;CUST0157;Female;24,00;Home Goods;SKU-098;1,00;79,66;Cash;2025-09-18;North Mall;0,21;-0,03;1,47;1,52;-6,24;0,97;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;47,00
INV00383;CUST0135;Male;25,00;Clothing;SKU-028;2,00;81,24;Debit Card;2025-07-26;Westside Plaza;0,12;0,01;2,52;2,49;15,21;1,01;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;40,00
INV00384;CUST0176;Female;38,00;Electronics;SKU-038;1,00;443,84;Credit Card;2025-06-05;North Mall;0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;45,00
INV00385;CUST0011;Female;39,00;Home Goods;SKU-100;2,00;117,93;Cash;2025-11-06;Westside Plaza;-0,01;-0,03;1,57;1,52;0,29;1,04;Subir;Generador de ganancias;Maximizar márgenes: Subir precios gradualmente sin perder volumen. Producto con demanda inelástica y alto volumen. Priorizar disponibilidad, calidad y mantener cuota de mercado. Fuente estable de ingresos y efectivo.;Subir precio gradual, maximizar margen;47,00
INV00386;CUST0147;Male;44,00;Home Goods;SKU-082;2,00;197,00;Credit Card;2025-10-17;Downtown Galleria;-0,27;-0,03;1,56;1,52;8,03;1,03;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;48,00
INV00387;CUST0199;Female;32,00;Food & Drink;SKU-077;5,00;14,66;Credit Card;2025-10-10;Westside Plaza;0,05;0,00;4,67;4,53;65,58;1,03;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;45,00
INV00388;CUST0109;Male;44,00;Food & Drink;SKU-074;5,00;22,89;Debit Card;2025-07-06;North Mall;0,02;0,00;4,81;4,53;34,18;1,06;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;57,00
INV00389;CUST0100;Female;58,00;Electronics;SKU-042;1,00;290,79;Debit Card;2025-07-12;Westside Plaza;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;50,00
INV00390;CUST0039;Male;30,00;Clothing;SKU-022;2,00;58,71;Credit Card;2025-08-25;Downtown Galleria;-0,28;0,01;2,47;2,49;-36,79;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;57,00
INV00391;CUST0139;Female;35,00;Home Goods;SKU-091;1,00;50,37;Cash;2025-09-05;Downtown Galleria;-0,07;-0,03;1,49;1,52;2,20;0,98;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;51,00
INV00392;CUST0019;Female;36,00;Electronics;SKU-041;1,00;238,93;Credit Card;2025-06-09;Downtown Galleria;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;43,00
INV00393;CUST0037;Male;26,00;Clothing;SKU-026;2,00;138,28;Cash;2025-07-02;Westside Plaza;-0,15;0,01;2,46;2,49;-19,53;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;46,00
INV00394;CUST0015;Male;36,00;Electronics;SKU-037;1,00;790,84;Cash;2025-10-12;North Mall;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;55,00
INV00395;CUST0038;Male;59,00;Clothing;SKU-026;3,00;33,97;Cash;2025-07-30;Westside Plaza;-0,15;0,01;2,46;2,49;-19,53;0,99;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;46,00
INV00396;CUST0086;Female;52,00;Home Goods;SKU-087;2,00;62,83;Credit Card;2025-08-06;Westside Plaza;-0,02;-0,03;1,55;1,52;0,47;1,02;Subir;Generador de ganancias;Maximizar márgenes: Subir precios gradualmente sin perder volumen. Producto con demanda inelástica y alto volumen. Priorizar disponibilidad, calidad y mantener cuota de mercado. Fuente estable de ingresos y efectivo.;Subir precio gradual, maximizar margen;65,00
INV00397;CUST0011;Male;42,00;Home Goods;SKU-081;2,00;160,65;Credit Card;2025-09-02;Downtown Galleria;-0,14;-0,03;1,47;1,52;4,39;0,97;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;59,00
INV00398;CUST0009;Male;38,00;Clothing;SKU-009;2,00;64,11;Debit Card;2025-05-31;Westside Plaza;-0,01;0,01;2,46;2,49;-0,91;0,99;Mantener;Estabilizador de ingresos;Posicionamiento premium: Mantener precios altos para nicho leal. Demanda inelástica con bajo volumen. Enfocarse en calidad superior, exclusividad y segmentación de clientes de alto valor. Considerar descontinuar si los márgenes no justifican el inventario.;Mantener premium, nicho leal;63,00
INV00399;CUST0053;Female;35,00;Clothing;SKU-006;3,00;63,71;Cash;2025-10-31;North Mall;-0,15;0,01;2,45;2,49;-18,94;0,98;Bajar mucho;Promesa de valor;Posicionamiento por valor: Precio competitivo con diferenciación por calidad. Producto sensible al precio con bajo volumen. Invertir en marketing, branding y fidelización para aumentar volumen. Reducir precios para penetrar mercado y convertir en 'Generador de trafico'.;Precio competitivo, crecer volumen;47,00
INV00400;CUST0015;Female;44,00;Electronics;SKU-047;1,00;323,01;Credit Card;2025-10-06;Downtown Galleria;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;50,00
INV00401;CUST0144;Female;29,00;Electronics;SKU-049;1,00;587,56;Credit Card;2025-05-15;Westside Plaza;-0,00;0,00;1,00;1,00;N/A;1,00;Mantener;Sin clasificar;Recopilar más datos históricos de precios y ventas para realizar análisis de elasticidad y volumen. Se requieren al menos 3 observaciones de precio-cantidad para estimar elasticidad confiable.;Recolectar mas datos;56,00
INV00402;CUST0131;Male;21,00;Clothing;SKU-029;3,00;72,68;Debit Card;2025-06-28;Westside Plaza;0,08;0,01;2,58;2,49;9,97;1,04;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;53,00
INV00403;CUST0184;Female;44,00;Food & Drink;SKU-080;4,00;6,71;Credit Card;2025-11-02;Downtown Galleria;0,01;0,00;4,66;4,53;17,27;1,03;Bajar mucho;Generador de trafico;Estrategia de penetración: Precios competitivos y promociones agresivas. Alta sensibilidad al precio con alto volumen. Priorizar adquisición de clientes, cross-selling y ventas complementarias. Ofrecer descuentos estratégicos para aumentar volumen y cuota de mercado.;Precios competitivos y promociones;59,00
